cu_num,M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle,libtype,solidx,splitK,us,kernelName,err_ratio,tflops,bw
256,240,4096,512,False,torch.bfloat16,torch.bfloat16,False,False,asm,6,1,6.8718,_ZN5aiter37bf16gemm_fp32bf16_tn_64x64_pf3_splitkE,0.0,146.49,932.24
256,248,4096,512,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,271,1,7.3464,flydsl_gemm2_abf16_wbf16_bf16_t64x64x128_split_k1_block_m_warp2_block_n_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0,141.59,882.04
256,256,4096,512,False,torch.bfloat16,torch.bfloat16,False,False,asm,6,1,6.8851,_ZN5aiter37bf16gemm_fp32bf16_tn_64x64_pf3_splitkE,0.0,155.95,951.85
256,264,4096,512,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,91,1,8.7723,flydsl_gemm2_abf16_wbf16_bf16_t64x64x64_split_k1_block_m_warp2_block_n_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0,126.23,755.48
256,272,4096,512,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,91,1,8.7224,flydsl_gemm2_abf16_wbf16_bf16_t64x64x64_split_k1_block_m_warp2_block_n_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0,130.8,768.26
256,280,4096,512,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,271,1,7.2951,flydsl_gemm2_abf16_wbf16_bf16_t64x64x128_split_k1_block_m_warp2_block_n_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0,160.99,928.68
256,288,4096,512,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,271,1,7.4172,flydsl_gemm2_abf16_wbf16_bf16_t64x64x128_split_k1_block_m_warp2_block_n_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0,162.86,923.33
256,320,4096,512,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,91,1,8.8313,flydsl_gemm2_abf16_wbf16_bf16_t64x64x64_split_k1_block_m_warp2_block_n_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0,151.98,808.88
256,328,4096,512,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,271,1,7.7361,flydsl_gemm2_abf16_wbf16_bf16_t64x64x128_split_k1_block_m_warp2_block_n_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0,177.83,932.92
256,344,4096,512,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,271,1,7.5668,flydsl_gemm2_abf16_wbf16_bf16_t64x64x128_split_k1_block_m_warp2_block_n_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0,190.68,973.28
256,352,4096,512,False,torch.bfloat16,torch.bfloat16,False,False,asm,9,1,7.7114,_ZN5aiter37bf16gemm_fp32bf16_tn_96x64_pf3_splitkE,0.0,191.46,964.59
256,360,4096,512,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,271,1,7.6848,flydsl_gemm2_abf16_wbf16_bf16_t64x64x128_split_k1_block_m_warp2_block_n_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0,196.49,977.52
256,368,4096,512,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,91,1,9.0153,flydsl_gemm2_abf16_wbf16_bf16_t64x64x64_split_k1_block_m_warp2_block_n_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0,171.21,841.43
256,376,4096,512,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,271,1,7.7297,flydsl_gemm2_abf16_wbf16_bf16_t64x64x128_split_k1_block_m_warp2_block_n_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0,204.03,990.92
256,384,4096,512,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,271,1,7.7945,flydsl_gemm2_abf16_wbf16_bf16_t64x64x128_split_k1_block_m_warp2_block_n_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0,206.64,992.15
256,392,4096,512,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,121,1,9.4617,flydsl_gemm2_abf16_wbf16_bf16_t96x64x64_split_k1_block_m_warp2_block_n_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0,173.77,825.12
256,400,4096,512,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,271,1,8.0566,flydsl_gemm2_abf16_wbf16_bf16_t64x64x128_split_k1_block_m_warp2_block_n_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0,208.24,978.16
256,424,4096,512,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,271,1,8.1302,flydsl_gemm2_abf16_wbf16_bf16_t64x64x128_split_k1_block_m_warp2_block_n_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0,218.74,996.52
