cu_num,M,N,K,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
256,480,2112,7168,ck,12,0,23.7018,a8w8_blockscale_bpreshuffle_1x128x128_256x32x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,613.17,869.43,0.0
256,480,2240,7168,ck,10,3,29.6138,a8w8_blockscale_bpreshuffle_1x128x128_256x32x64x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,520.5,730.99,0.0198
256,480,8192,1536,ck,14,2,15.2122,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,794.07,1392.6,0.0
256,480,11264,1536,ck,14,1,19.9085,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,834.29,1449.24,0.0002
256,512,3072,1536,ck,12,0,10.3254,a8w8_blockscale_bpreshuffle_1x128x128_256x32x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,467.96,837.81,0
256,512,4096,512,ck,16,0,6.3359,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,338.94,1034.36,0
256,512,7168,2048,ck,14,0,17.153,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,876.37,1344.88,0.0001
256,512,4608,7168,asm,24,1,33.4546,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_80x128E,1011.01,1238.06,0.0
256,512,7168,2304,asm,40,1,19.102,_ZN5aiter43fp8gemm_bf16_blockscale_BpreShuffle_128x128E,885.32,1310.58,0.0
256,512,128,7168,asm,14,7,9.3667,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_48x128E,100.3,503.76,0.0058
256,512,2112,7168,ck,17,1,28.0195,a8w8_blockscale_bpreshuffle_1x128x128_256x64x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,553.26,748.46,0.0
256,512,2240,7168,ck,15,3,31.3983,a8w8_blockscale_bpreshuffle_1x128x128_256x64x64x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,523.65,701.31,0.0006
256,512,8192,1536,ck,14,2,15.1464,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,850.69,1436.51,0.0001
256,512,11264,1536,ck,14,1,20.0605,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,883.17,1476.65,0.0001
256,544,3072,1536,ck,11,1,10.4856,a8w8_blockscale_bpreshuffle_1x128x128_256x32x128x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,489.61,848.45,0.0
256,544,4096,512,ck,11,0,6.5542,a8w8_blockscale_bpreshuffle_1x128x128_256x32x128x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,348.13,1042.4,0
256,544,7168,2048,ck,14,3,17.7698,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,898.82,1327.7,0.0001
256,544,4608,7168,asm,24,1,34.0193,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_80x128E,1056.36,1232.92,0.0
256,544,7168,2304,ck,14,1,20.1601,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,891.29,1268.21,0.0
256,544,128,7168,asm,7,8,8.7489,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,114.1,566.49,0.0061
256,544,2112,7168,ck,17,0,29.7409,a8w8_blockscale_bpreshuffle_1x128x128_256x64x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,553.82,717.4,0.0
