cu_num,M,N,K,kernelId,splitK,us,kernelName,tflops,bw,errRatio
256,128,5120,25600,22,0,140.1972,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_192x256E,239.34,488.49,0.0
256,128,6400,5120,22,0,33.6507,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_192x256E,249.28,545.31,0.0
256,128,12800,5120,22,0,33.9284,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_192x256E,494.49,1072.04,0.0
256,128,51200,5120,21,0,52.5393,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E,1277.31,2750.45,0.0
256,256,800,5120,22,0,36.8477,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_192x256E,56.91,84.48,0.0
256,256,5120,1280,22,0,11.8102,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_192x256E,284.11,513.29,0.0
256,256,5120,5120,22,0,38.9154,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_192x256E,344.9,421.02,0.0
256,256,5120,6400,22,0,27.5295,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_192x256E,609.43,720.12,0.0
256,256,5120,25600,22,0,166.5121,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_192x256E,403.03,429.0,0.0
256,256,6400,5120,22,0,39.3243,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_192x256E,426.64,516.63,0.0
256,256,12800,5120,22,0,40.3949,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_192x256E,830.66,989.65,0.0
256,256,51200,5120,21,0,60.5051,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E,2218.29,2610.39,0.0
256,512,800,5120,21,0,38.7761,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E,108.17,107.74,0.0
256,512,5120,1280,22,0,12.1842,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_192x256E,550.79,726.13,0.0
256,512,5120,5120,22,0,39.796,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_192x256E,674.53,494.04,0.0
256,512,5120,6400,22,0,28.4174,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_192x256E,1180.77,818.7,0.0
256,512,5120,25600,22,0,167.8761,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_192x256E,799.5,460.65,0.0
256,512,6400,5120,22,0,40.5552,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_192x256E,827.38,597.91,0.0
